proj,chip,experiment,max_reward,min_reward,mean_reward,n_episodes
25-02-2025_cp_drugs_gpu,25178ic,drug1/drug1_cartpole_F_7,327.0,10.0,44.9,200.0
24-04-18_butterfly,p001237,exp2/exp2_cartpole_long_6,321.0,12.0,52.9,63.0
24-05-24,23134,2d_rl/2d_rl_cartpole_long_8,318.0,13.0,38.6,81.0
24-05-24,23134,dmso/dmso_cartpole_long_8,313.0,9.0,23.7,111.0
2024-05-06_butterfly,22097,dmso/dmso_cartpole_long_9,309.0,10.0,49.0,68.0
24-03-25_plasticity,p001237,RL_pharma/RL_pharma_cartpole_long_14,308.0,10.0,63.7,56.0
24-04-18_butterfly,23138,RL_pharma/RL_pharma_cartpole_long_11,306.0,12.0,40.2,78.0
24-04-18_butterfly,23186,RL_only/RL_only_cartpole_long_1,304.0,13.0,82.0,45.0
24-04-18_butterfly,p001237,exp2/exp2_cartpole_long_14,304.0,10.0,38.2,81.0
24-04-18_butterfly,23138,RL_pharma/RL_pharma_cartpole_long_4,303.0,10.0,71.7,50.0
24-03-25_plasticity,p001237,RL_pharma/RL_pharma_cartpole_long_4,302.0,11.0,49.2,67.0
24-04-18_butterfly,p001237,exp2/exp2_cartpole_long_9,300.0,10.0,35.0,86.0
24-05-18_plasticity,22097,Bl1/Bl1_cartpole_long_15,299.0,11.0,43.1,74.0
24-03-25_plasticity,p001237,exp3/exp3_cartpole_long,299.0,12.0,63.2,52.0
2024-05-06_butterfly,22097,dmso/dmso_cartpole_long_17,291.0,12.0,65.3,54.0
24-04-18_butterfly,23138,exp1/exp1_cartpole_long_15,289.0,11.0,40.8,76.0
24-01-07_data,20217,exp1/exp1_cartpole_long_1,266.0,10.0,50.1,80.0
24-05-18_plasticity,22097,Bl1/Bl1_cartpole_long_16,264.0,11.0,43.0,75.0
24-05-24,23134,dmso/dmso_cartpole_long_4,263.0,10.0,26.7,104.0
24-03-25_plasticity,p001237,exp6/exp6_cartpole_long_8,262.0,10.0,53.3,64.0
24-05-24,23134,dmso/dmso_cartpole_long,262.0,10.0,42.5,74.0
