proj,chip,experiment,max_reward,min_reward,mean_reward,n_episodes
24-01-07_data,22064,exp1/exp1_cartpole_long_5,81.0,10.0,26.5,123.0
24-01-07_data,20217,exp2/exp2_cartpole_long,81.0,10.0,20.6,155.0
23-11-30_cartpole,22064,long_exp_3/long_exp_3_cartpole_long_16,81.0,10.0,17.7,168.0
24-04-18_butterfly,23138,Rl_only2/Rl_only2_cartpole_long_18,81.0,11.0,25.7,106.0
24-01-07_data,20217,exp4/exp4_cartpole_long_12,80.0,11.0,23.0,137.0
24-01-07_data,P001237,exp2/exp2_cartpole_long,80.0,13.0,27.1,121.0
24-04-18_butterfly,23138,exp1/exp1_cartpole_long_22,80.0,10.0,24.9,108.0
24-04-18_butterfly,23138,Rl_only2/Rl_only2_cartpole_long_15,79.0,11.0,27.7,101.0
24-01-07_data,P001237,exp2/exp2_cartpole_long_2,79.0,14.0,29.5,119.0
23-11-30_cartpole,22064,long_exp_3/long_exp_3_cartpole_long_9,79.0,10.0,22.0,145.0
24-04-18_butterfly,23138,Rl_only2/Rl_only2_cartpole_long_6,79.0,10.0,24.7,109.0
24-03-25_plasticity,p001237,exp3/exp3_cartpole_long_12,78.0,10.0,20.5,121.0
24-04-18_butterfly,23138,exp1/exp1_cartpole_long_19,78.0,10.0,16.8,134.0
24-01-07_data,22064,exp1/exp1_cartpole_long_4,78.0,10.0,26.2,130.0
24-04-18_butterfly,23133,exp1/exp1_cartpole_long_5,78.0,10.0,21.6,118.0
23-11-30_cartpole,22064,long_exp_2/long_exp_2_cartpole_long_14,78.0,9.0,18.4,200.0
23-11-30_cartpole,22064,long_exp_2/long_exp_2_cartpole_long_9,78.0,10.0,21.5,178.0
24-01-07_data,P001237,exp1/exp1_cartpole_long_1,78.0,11.0,22.4,137.0
23-11-30_cartpole,22064,long_exp_3/long_exp_3_cartpole_long_2,77.0,10.0,25.3,126.0
23-11-30_cartpole,22064,long_exp_3/long_exp_3_cartpole_long_21,77.0,10.0,18.7,152.0
24-03-25_plasticity,p001280,RL_pharma/RL_pharma_cartpole_long_3,77.0,12.0,28.1,100.0
24-04-18_butterfly,23138,Rl_only2/Rl_only2_cartpole_long_16,77.0,11.0,25.5,107.0
23-11-30_cartpole,22064,long_exp_2/long_exp_2_cartpole_long_7,77.0,10.0,22.8,170.0
24-03-25_plasticity,p001237,exp3/exp3_cartpole_long_10,76.0,11.0,21.4,117.0
24-03-25_plasticity,p001237,exp8/exp8_cartpole_long,76.0,10.0,23.7,110.0
23-11-30_cartpole,22064,exp7/exp7_cartpole,76.0,10.0,15.8,300.0
23-11-30_cartpole,22064,long_exp_3/long_exp_3_cartpole_long_5,76.0,10.0,23.6,139.0
24-04-18_butterfly,23138,exp1/exp1_cartpole_long_17,75.0,11.0,19.3,124.0
24-04-18_butterfly,23138,Rl_only2/Rl_only2_cartpole_long_14,75.0,10.0,24.5,110.0
24-04-18_butterfly,23138,Rl_only2/Rl_only2_cartpole_long_22,75.0,12.0,25.4,107.0
24-03-25_plasticity,p001237,RL_pharma/RL_pharma_cartpole_long_8,75.0,,,1.0
24-04-18_butterfly,23138,Rl_only2/Rl_only2_cartpole_long_11,75.0,9.0,23.7,111.0
24-04-18_butterfly,23138,Rl_only2/Rl_only2_cartpole_long_2,75.0,11.0,26.5,104.0
24-03-25_plasticity,p001237,exp3/exp3_cartpole_long_11,74.0,12.0,25.8,105.0
24-01-07_data,22064,exp1/exp1_cartpole_long_1,74.0,10.0,21.0,146.0
24-01-07_data,P001237,exp1/exp1_cartpole_long_5,74.0,12.0,22.3,151.0
24-05-18_plasticity,22097,Bl1/Bl1_cartpole_long_20,74.0,10.0,19.5,125.0
24-04-18_butterfly,23138,exp1/exp1_cartpole_long_10,73.0,11.0,20.5,120.0
23-11-30_cartpole,22064,long_exp_3/long_exp_3_cartpole_long_10,73.0,9.0,25.2,127.0
24-03-25_plasticity,p001237,exp3/exp3_cartpole_long_15,73.0,11.0,21.8,117.0
25-02-2025_cp_drugs_gpu,25123ic,full1/full1_cartpole_F_1,73.0,10.0,24.7,109.0
24-04-18_butterfly,23133,exp1/exp1_cartpole_long_12,73.0,11.0,25.6,107.0
24-03-25_plasticity,p001280,RL_pharma/RL_pharma_cartpole_long_2,73.0,10.0,28.2,100.0
24-01-07_data,22064,exp1/exp1_cartpole_long_3,72.0,10.0,24.3,132.0
23-11-30_cartpole,22064,long_exp_2/long_exp_2_cartpole_long_4,72.0,10.0,19.8,195.0
2024-05-30_drugs_cartpole,20264,baseline/baseline_cartpole_long_6,72.0,9.0,14.1,147.0
24-01-07_data,P001237,exp1/exp1_cartpole_long_17,71.0,11.0,21.5,148.0
24-03-25_plasticity,p001280,RL_pharma/RL_pharma_cartpole_long_5,71.0,11.0,25.9,105.0
24-01-07_data,20217,exp4/exp4_cartpole_long_3,71.0,10.0,18.7,168.0
24-03-25_plasticity,p001237,exp3/exp3_cartpole_long_19,71.0,12.0,26.2,104.0
24-04-18_butterfly,p001237,exp6/exp6_cartpole_long_3,71.0,13.0,34.9,26.0
24-04-18_butterfly,p001237,exp6/exp6_cartpole_long_2,70.0,11.0,21.1,57.0
25-02-2025_cp_drugs_gpu,25178ic,full3/full3_cartpole_F_7,70.0,10.0,23.6,111.0
23-11-30_cartpole,22064,long_exp_3/long_exp_3_cartpole_long_12,70.0,10.0,22.9,138.0
24-01-07_data,P001237,exp1/exp1_cartpole_long_2,70.0,11.0,20.7,146.0
24-01-07_data,20217,exp1/exp1_cartpole_long_3,70.0,10.0,18.1,172.0
24-04-18_butterfly,23138,Rl_only2/Rl_only2_cartpole_long_21,70.0,10.0,25.1,107.0
24-05-18_plasticity,22097,Bl1/Bl1_cartpole_long_22,69.0,10.0,18.3,130.0
24-03-25_plasticity,p001237,exp8/exp8_cartpole_long_10,69.0,11.0,21.8,116.0
24-04-18_butterfly,23138,Rl_only2/Rl_only2_cartpole_long_23,69.0,10.0,24.5,109.0
23-11-30_cartpole,22064,long_exp_2/long_exp_2_cartpole_long_8,68.0,9.0,16.3,200.0
25-02-2025_cp_drugs_gpu,25123ic,full1/full1_cartpole_F_15,68.0,10.0,23.6,111.0
25-02-2025_cp_drugs_gpu,25123ic,full1/full1_cartpole_F_12,68.0,10.0,22.6,114.0
23-11-30_cartpole,22064,long_exp_3/long_exp_3_cartpole_long_18,68.0,10.0,22.1,145.0
24-03-25_plasticity,p001237,exp3/exp3_cartpole_long_6,68.0,10.0,15.4,140.0
24-04-18_butterfly,23138,Rl_only2/Rl_only2_cartpole_long_19,68.0,12.0,26.8,103.0
24-03-25_plasticity,p001237,exp3/exp3_cartpole_long_2,68.0,11.0,26.1,103.0
24-04-18_butterfly,23138,exp1/exp1_cartpole_long_14,68.0,10.0,15.6,139.0
25-02-2025_cp_drugs_gpu,25178ic,drug1/drug1_cartpole_F_3,67.0,11.0,28.6,37.0
24-01-07_data,P001237,exp1/exp1_cartpole_long_15,67.0,11.0,20.0,157.0
25-02-2025_cp_drugs_gpu,25123ic,full1/full1_cartpole_F,67.0,10.0,23.3,113.0
24-04-18_butterfly,p001237,exp5/exp5_cartpole_long,66.0,10.0,20.3,121.0
24-03-25_plasticity,p001237,exp8/exp8_cartpole_long_3,66.0,10.0,18.0,129.0
24-03-25_plasticity,p001346,exp1/exp1_cartpole_long_13,66.0,10.0,19.2,157.0
24-03-25_plasticity,p001237,exp5/exp5_cartpole_F_5,66.0,9.0,15.7,200.0
24-03-25_plasticity,p001237,exp8/exp8_cartpole_long_12,66.0,10.0,16.9,134.0
24-04-18_butterfly,23133,exp1/exp1_cartpole_long_11,65.0,10.0,21.0,120.0
24-03-25_plasticity,p001237,exp3/exp3_cartpole_long_1,65.0,12.0,22.3,113.0
24-04-18_butterfly,23138,Rl_only2/Rl_only2_cartpole_long_5,65.0,12.0,23.7,112.0
25-02-2025_cp_drugs_gpu,25178ic,drug1/drug1_cartpole_F_8,64.0,11.0,19.6,200.0
24-01-07_data,20217,exp2/exp2_cartpole_long_1,64.0,10.0,16.1,163.0
24-04-18_butterfly,p001237,exp5/exp5_cartpole_long_1,64.0,10.0,16.0,139.0
2024-05-30_drugs_cartpole,20264,baseline/baseline_cartpole_long_8,64.0,9.0,14.6,144.0
2024-05-30_drugs_cartpole,20264,baseline/baseline_cartpole_long_4,64.0,10.0,17.5,132.0
24-04-18_butterfly,p001237,exp5/exp5_cartpole_long_6,64.0,10.0,14.8,143.0
23-11-30_cartpole,22064,exp7/exp7_cartpole_6,63.0,10.0,19.7,300.0
25-02-2025_cp_drugs_gpu,25123ic,full1/full1_cartpole_F_11,63.0,11.0,21.1,119.0
2024-05-30_drugs_cartpole,20264,baseline/baseline_cartpole_long_5,63.0,10.0,12.9,152.0
24-01-07_data,P001237,exp1/exp1_cartpole_long_12,62.0,12.0,26.1,125.0
23-11-30_cartpole,22064,long_exp_3/long_exp_3_cartpole_long_8,62.0,10.0,22.1,148.0
24-03-25_plasticity,p001237,exp8/exp8_cartpole_long_14,61.0,10.0,22.6,114.0
24-04-18_butterfly,23138,Rl_only2/Rl_only2_cartpole_long_20,61.0,11.0,22.8,114.0
24-03-25_plasticity,p001237,exp3/exp3_cartpole_long_20,61.0,11.0,18.6,126.0
25-02-2025_cp_drugs_gpu,25123ic,full1/full1_cartpole_F_10,61.0,10.0,19.0,126.0
23-11-30_cartpole,22064,long_exp_2/long_exp_2_cartpole_long_6,61.0,10.0,18.7,200.0
24-04-18_butterfly,23133,exp1/exp1_cartpole_long_14,61.0,10.0,20.7,121.0
24-01-07_data,20217,exp4/exp4_cartpole_long_4,61.0,10.0,14.6,191.0
2024-05-30_drugs_cartpole,20264,baseline/baseline_cartpole_long_9,60.0,13.0,33.8,16.0
23-11-30_cartpole,22064,long_exp_2/long_exp_2_cartpole_long_10,60.0,10.0,19.4,195.0
24-03-25_plasticity,p001346,exp1/exp1_cartpole_long_10,60.0,11.0,22.4,145.0
24-03-25_plasticity,p001280,RL_pharma/RL_pharma_cartpole_long_1,60.0,11.0,22.5,115.0
24-04-18_butterfly,23138,Rl_only2/Rl_only2_cartpole_long_1,60.0,12.0,23.4,113.0
24-03-25_plasticity,p001237,exp3/exp3_cartpole_long_7,59.0,10.0,22.4,115.0
25-02-2025_cp_drugs_gpu,25123ic,full1/full1_cartpole_F_2,59.0,9.0,17.2,133.0
24-04-18_butterfly,23133,exp1/exp1_cartpole_long_2,59.0,10.0,16.8,134.0
23-11-30_cartpole,22064,exp3/exp3_cartpole_5,58.0,10.0,15.6,100.0
23-11-30_cartpole,22064,long_exp_2/long_exp_2_cartpole_long_2,58.0,10.0,16.8,78.0
24-04-18_butterfly,23138,exp1/exp1_cartpole_long_16,58.0,10.0,15.6,139.0
24-03-25_plasticity,p001280,RL_pharma/RL_pharma_cartpole_long,58.0,10.0,20.5,121.0
24-01-07_data,20217,exp4/exp4_cartpole_long_20,58.0,10.0,15.0,189.0
24-04-18_butterfly,23133,exp1/exp1_cartpole_long_10,57.0,10.0,21.9,117.0
25-02-2025_cp_drugs_gpu,25123ic,full1/full1_cartpole_F_7,56.0,10.0,18.9,127.0
24-01-07_data,P001237,exp1/exp1_cartpole_long_14,56.0,11.0,21.4,150.0
24-01-07_data,P001237,exp1/exp1_cartpole_long_13,56.0,11.0,23.2,142.0
23-11-30_cartpole,22064,exp3/exp3_cartpole,55.0,10.0,17.1,100.0
23-11-30_cartpole,P001515,exp1/exp1_cartpole_long_15,55.0,10.0,14.6,49.0
24-04-18_butterfly,p001237,exp6/exp6_cartpole_long_1,55.0,10.0,19.6,35.0
24-05-24,21985,dmso/dmso_cartpole_long_3,55.0,10.0,12.5,155.0
24-05-24,23134,2d_rl/2d_rl_cartpole_long_12,55.0,12.0,21.8,6.0
24-01-07_data,20217,exp4/exp4_cartpole_long_8,54.0,10.0,18.5,164.0
24-04-18_butterfly,23138,exp1/exp1_cartpole_long,54.0,10.0,23.6,112.0
25-02-2025_cp_drugs_gpu,25123ic,full1/full1_cartpole_F_3,54.0,10.0,18.5,78.0
24-03-25_plasticity,p001346,exp1/exp1_cartpole_F_2,54.0,10.0,18.3,100.0
24-04-18_butterfly,p001237,exp5/exp5_cartpole_long_8,54.0,10.0,13.6,148.0
24-03-25_plasticity,p001346,exp1/exp1_cartpole_F_1,54.0,10.0,16.8,100.0
24-03-25_plasticity,p001384,exp2/exp2_cartpole_F_2,53.0,20.0,31.8,4.0
24-03-25_plasticity,p001237,exp6/exp6_cartpole_long_1,53.0,10.0,14.7,143.0
24-03-25_plasticity,p001237,exp8/exp8_cartpole_long_11,53.0,10.0,22.5,114.0
24-03-25_plasticity,p001346,exp1/exp1_cartpole_long_15,52.0,10.0,19.6,154.0
23-11-30_cartpole,P001515,exp1/exp1_cartpole_long_14,52.0,10.0,14.5,189.0
25-02-2025_cp_drugs_gpu,25123ic,full1/full1_cartpole_F_8,52.0,11.0,19.1,126.0
24-04-18_butterfly,23133,exp1/exp1_cartpole_long_17,51.0,9.0,14.9,143.0
23-11-30_cartpole,22064,exp_long_1/exp_long_1_cartpole_long_11,51.0,10.0,14.4,200.0
24-01-07_data,20217,exp4/exp4_cartpole_long_11,50.0,10.0,21.6,140.0
24-03-25_plasticity,p001237,exp3/exp3_cartpole_long_17,50.0,10.0,19.7,123.0
23-11-30_cartpole,P001515,exp1/exp1_cartpole_long_9,50.0,10.0,14.3,195.0
24-03-25_plasticity,p001237,exp5/exp5_cartpole_F_2,50.0,9.0,11.8,200.0
24-03-25_plasticity,p001346,exp1/exp1_cartpole_long_2,50.0,10.0,17.7,171.0
24-03-25_plasticity,p001237,exp8/exp8_cartpole_long_2,49.0,10.0,19.0,125.0
23-11-30_cartpole,P001515,exp1/exp1_cartpole_long_2,49.0,11.0,20.1,156.0
23-11-30_cartpole,22064,long_exp_2/long_exp_2_cartpole_long_3,49.0,10.0,15.6,200.0
25-02-2025_cp_drugs_gpu,25123ic,full1/full1_cartpole_F_16,49.0,10.0,19.1,126.0
24-03-25_plasticity,p001237,exp8/exp8_cartpole_long_5,48.0,10.0,18.7,127.0
23-11-30_cartpole,22064,exp_long_1/exp_long_1_cartpole_long_9,48.0,10.0,13.0,200.0
24-03-25_plasticity,p001237,exp7/exp7_cartpole_long_1,48.0,10.0,17.7,131.0
23-11-30_cartpole,22064,exp_long_1/exp_long_1_cartpole_long_6,48.0,10.0,15.4,200.0
24-01-07_data,20217,exp1/exp1_cartpole_long_2,47.0,10.0,15.8,172.0
24-04-18_butterfly,p001237,exp1/exp1_cartpole_long_2,47.0,10.0,15.0,142.0
23-11-30_cartpole,22064,exp_long_1/exp_long_1_cartpole_long_7,47.0,10.0,13.9,200.0
24-04-18_butterfly,23138,exp1/exp1_cartpole_long_1,47.0,10.0,18.4,13.0
25-02-2025_cp_drugs_gpu,25178ic,drug1/drug1_cartpole_F_5,47.0,17.0,32.1,8.0
24-01-07_data,20217,exp4/exp4_cartpole_long_5,46.0,10.0,15.5,190.0
24-05-24,22194,baseline/baseline_cartpole_long_3,46.0,10.0,17.1,134.0
24-01-07_data,20217,exp4/exp4_cartpole_long_19,46.0,10.0,12.3,200.0
23-11-30_cartpole,22064,long_exp_3/long_exp_3_cartpole_long_3,46.0,10.0,17.6,165.0
23-11-30_cartpole,P001515,exp1/exp1_cartpole_long_6,45.0,10.0,16.8,165.0
23-11-30_cartpole,22064,exp_long_1/exp_long_1_cartpole_long_8,45.0,9.0,12.0,200.0
24-05-24,23134,2d_rl/2d_rl_cartpole_long_6,45.0,16.0,28.6,100.0
24-01-07_data,20217,exp4/exp4_cartpole_long_22,45.0,10.0,13.0,191.0
24-03-25_plasticity,p001346,exp1/exp1_cartpole_long_7,45.0,10.0,13.8,200.0
23-11-30_cartpole,P001515,exp1/exp1_cartpole_long_13,44.0,10.0,14.8,188.0
24-01-07_data,20217,exp4/exp4_cartpole_long_6,44.0,10.0,14.3,197.0
2024-05-30_drugs_cartpole,20264,baseline/baseline_cartpole_long_2,43.0,10.0,16.3,37.0
24-04-18_butterfly,23133,exp1/exp1_cartpole_long_16,43.0,10.0,14.9,144.0
24-01-07_data,20217,exp2/exp2_cartpole_long_19,42.0,10.0,12.8,200.0
23-11-30_cartpole,22064,exp3/exp3_cartpole_7,42.0,11.0,16.1,100.0
23-11-30_cartpole,22064,exp_long_1/exp_long_1_cartpole_long_5,42.0,10.0,12.2,200.0
24-03-25_plasticity,p001237,RL_pharma/RL_pharma_cartpole_long_1,42.0,10.0,14.1,147.0
2024-05-30_drugs_cartpole,20264,baseline/baseline_cartpole_long_3,41.0,10.0,14.1,135.0
24-05-24,22194,baseline/baseline_cartpole_long_4,41.0,10.0,15.6,35.0
24-01-07_data,P001237,exp1/exp1_cartpole_long_18,41.0,11.0,19.9,156.0
24-03-25_plasticity,p001346,exp1/exp1_cartpole_long_11,41.0,10.0,17.1,175.0
25-02-2025_cp_drugs_gpu,25178ic,full3/full3_cartpole_F_4,41.0,12.0,20.9,120.0
23-11-30_cartpole,22064,exp7/exp7_cartpole_2,41.0,9.0,16.0,300.0
24-01-07_data,20217,exp4/exp4_cartpole_long_23,40.0,9.0,12.0,200.0
25-02-2025_cp_drugs_gpu,25123ic,full1/full1_cartpole_F_6,40.0,9.0,11.2,163.0
23-11-30_cartpole,22064,exp_long_1/exp_long_1_cartpole_long_2,40.0,10.0,12.9,200.0
23-11-30_cartpole,P001515,exp1/exp1_cartpole_long,40.0,10.0,18.5,161.0
23-11-30_cartpole,22064,exp3/exp3_cartpole_6,40.0,10.0,15.7,100.0
23-11-30_cartpole,22064,exp7/exp7_cartpole_1,40.0,10.0,13.8,300.0
25-02-2025_cp_drugs_gpu,25178ic,drug1/drug1_cartpole_F_4,39.0,24.0,29.8,6.0
24-03-25_plasticity,p001237,RL_pharma/RL_pharma_cartpole_long_19,39.0,10.0,16.4,25.0
24-03-25_plasticity,p001237,exp5/exp5_cartpole_F_3,39.0,9.0,14.0,200.0
24-03-25_plasticity,p001237,exp8/exp8_cartpole_long_9,39.0,10.0,15.3,141.0
2024-05-30_drugs_cartpole,20264,baseline/baseline_cartpole_long_1,38.0,10.0,14.6,38.0
23-11-30_cartpole,22064,long_exp_2/long_exp_2_cartpole_long_5,38.0,10.0,15.9,200.0
23-11-30_cartpole,P001515,exp1/exp1_cartpole_long_4,38.0,10.0,13.0,200.0
24-03-25_plasticity,p001346,exp1/exp1_cartpole_long,38.0,10.0,14.4,176.0
24-05-24,22194,baseline/baseline_cartpole_long_2,37.0,10.0,17.1,25.0
24-01-07_data,20217,exp4/exp4_cartpole_long_14,37.0,9.0,13.1,200.0
25-02-2025_cp_drugs_gpu,25123ic,full1/full1_cartpole_F_5,37.0,10.0,11.8,159.0
24-03-25_plasticity,p001237,exp3/exp3_cartpole_long_18,37.0,10.0,14.6,144.0
24-04-18_butterfly,p001237,exp4/exp4_cartpole_long_3,37.0,9.0,12.7,154.0
24-01-07_data,20217,exp4/exp4_cartpole_long_24,36.0,10.0,11.9,200.0
24-03-25_plasticity,p001346,exp1/exp1_cartpole_long_12,36.0,10.0,14.5,191.0
24-03-25_plasticity,p001237,RL_pharma/RL_pharma_cartpole_long_3,36.0,10.0,13.5,27.0
23-11-30_cartpole,22064,exp_long_1/exp_long_1_cartpole_long_4,36.0,9.0,12.0,200.0
24-04-18_butterfly,p001237,exp4/exp4_cartpole_long_2,36.0,10.0,13.2,152.0
24-01-07_data,20217,exp4/exp4_cartpole_long_16,36.0,10.0,13.0,200.0
24-04-18_butterfly,p001237,exp4/exp4_cartpole_long_1,35.0,10.0,15.6,140.0
24-04-18_butterfly,p001237,exp4/exp4_cartpole_long_5,35.0,10.0,11.4,161.0
24-01-07_data,20217,exp4/exp4_cartpole_long_21,35.0,10.0,12.8,200.0
23-11-30_cartpole,22064,long_exp_2/long_exp_2_cartpole_long,35.0,10.0,12.6,200.0
23-11-30_cartpole,22064,exp_long_1/exp_long_1_cartpole_long_13,34.0,9.0,13.0,200.0
23-11-30_cartpole,22064,exp_long_1/exp_long_1_cartpole_long_1,34.0,10.0,12.4,200.0
24-01-07_data,20217,exp4/exp4_cartpole_long_13,34.0,10.0,13.3,200.0
23-11-30_cartpole,22064,exp_long_1/exp_long_1_cartpole_long_3,34.0,9.0,12.3,200.0
24-04-18_butterfly,p001237,exp5/exp5_cartpole_long_7,34.0,9.0,11.8,158.0
23-11-30_cartpole,22064,exp_long_1/exp_long_1_cartpole_long_10,33.0,9.0,12.5,200.0
23-11-30_cartpole,22064,exp_long_1/exp_long_1_cartpole_long_14,32.0,10.0,13.7,30.0
24-04-18_butterfly,23133,exp1/exp1_cartpole_long_1,32.0,11.0,16.3,18.0
24-04-18_butterfly,p001237,exp4/exp4_cartpole_long_4,32.0,9.0,11.7,160.0
24-04-18_butterfly,p001237,exp4/exp4_cartpole_long_6,31.0,10.0,11.4,161.0
24-01-07_data,20217,exp4/exp4_cartpole_long_25,31.0,9.0,12.2,200.0
24-04-18_butterfly,23133,exp1/exp1_cartpole_long_18,30.0,10.0,13.2,152.0
24-04-18_butterfly,p001237,exp4/exp4_cartpole_long_9,30.0,9.0,11.2,162.0
23-11-30_cartpole,P001515,exp1/exp1_cartpole_long_11,30.0,10.0,13.5,200.0
24-05-24,23134,dmso/dmso_cartpole_long_5,30.0,9.0,12.5,156.0
23-11-30_cartpole,P001515,exp1/exp1_cartpole_long_5,29.0,10.0,12.8,195.0
24-04-18_butterfly,p001237,exp5/exp5_cartpole_long_5,28.0,10.0,12.8,55.0
24-01-07_data,20217,exp4/exp4_cartpole_long_15,27.0,10.0,12.6,200.0
24-04-18_butterfly,p001237,exp1/exp1_cartpole_long,27.0,,,1.0
24-01-07_data,20217,exp4/exp4_cartpole_long_17,27.0,10.0,11.7,200.0
24-04-18_butterfly,p001237,exp4/exp4_cartpole_long_7,26.0,9.0,11.4,163.0
24-01-07_data,20217,exp4/exp4_cartpole_long_1,26.0,10.0,12.0,200.0
24-04-18_butterfly,23133,exp1/exp1_cartpole_long,26.0,10.0,15.6,10.0
24-03-25_plasticity,p001346,exp1/exp1_cartpole_long_1,26.0,10.0,15.6,187.0
24-03-25_plasticity,p001346,exp1/exp1_cartpole_long_14,26.0,9.0,12.1,200.0
25-02-2025_cp_drugs_gpu,25178ic,drug1/drug1_cartpole_F_2,26.0,11.0,15.4,27.0
2024-05-30_drugs_cartpole,20264,baseline/baseline_cartpole_long,26.0,10.0,14.4,23.0
23-11-30_cartpole,P001515,exp1/exp1_cartpole_long_12,25.0,10.0,13.0,196.0
24-04-18_butterfly,p001237,exp4/exp4_cartpole_long_8,25.0,9.0,11.3,162.0
24-03-25_plasticity,p001346,exp1/exp1_cartpole_long_4,24.0,9.0,12.2,200.0
24-03-25_plasticity,p001237,exp6/exp6_cartpole_long,24.0,10.0,14.6,97.0
24-01-07_data,20217,exp2/exp2_cartpole_long_4,24.0,9.0,12.0,200.0
24-03-25_plasticity,p001237,exp4/exp4_cartpole_long,23.0,9.0,10.8,163.0
24-01-07_data,20217,exp4/exp4_cartpole_long,22.0,10.0,12.0,200.0
24-03-25_plasticity,p001237,exp5/exp5_cartpole_F_1,22.0,9.0,11.4,200.0
24-03-25_plasticity,p001346,exp1/exp1_cartpole_long_9,22.0,10.0,11.7,200.0
24-03-25_plasticity,p001346,exp1/exp1_cartpole_long_8,22.0,10.0,11.9,200.0
24-04-18_butterfly,p001237,exp1/exp1_cartpole_long_1,22.0,10.0,11.8,159.0
24-04-18_butterfly,p001237,exp1/exp1_cartpole_long_6,22.0,9.0,10.9,164.0
24-03-25_plasticity,p001237,exp4/exp4_cartpole_long_13,22.0,10.0,11.4,160.0
24-03-25_plasticity,p001237,RL_pharma/RL_pharma_cartpole_long,21.0,9.0,10.8,164.0
24-04-18_butterfly,p001237,exp4/exp4_cartpole_long_10,21.0,9.0,10.9,165.0
24-01-07_data,20217,exp4/exp4_cartpole_long_18,21.0,10.0,11.6,200.0
24-05-24,21985,dmso/dmso_cartpole_long,21.0,10.0,12.1,45.0
24-05-24,22194,baseline/baseline_cartpole_long_1,21.0,11.0,14.9,31.0
24-04-18_butterfly,p001237,exp1/exp1_cartpole_long_20,20.0,10.0,11.0,164.0
24-04-18_butterfly,p001237,exp1/exp1_cartpole_long_15,20.0,9.0,10.8,165.0
24-05-24,23134,dmso/dmso_cartpole_long_6,20.0,10.0,11.4,162.0
24-04-18_butterfly,p001237,exp4/exp4_cartpole_long_14,20.0,10.0,11.0,165.0
24-01-07_data,20217,exp1/exp1_cartpole_long_5,20.0,10.0,12.6,200.0
24-04-18_butterfly,p001237,exp1/exp1_cartpole_long_11,20.0,9.0,11.1,164.0
24-01-07_data,20217,exp3/exp3_cartpole_long_3,19.0,10.0,13.0,34.0
24-04-18_butterfly,p001237,exp1/exp1_cartpole_long_14,19.0,9.0,10.7,165.0
24-03-25_plasticity,p001237,exp4/exp4_cartpole_long_14,19.0,10.0,12.1,155.0
24-04-18_butterfly,p001237,exp1/exp1_cartpole_long_18,19.0,9.0,10.9,164.0
24-04-18_butterfly,p001237,exp4/exp4_cartpole_long_11,19.0,9.0,10.7,165.0
24-04-18_butterfly,p001237,exp1/exp1_cartpole_long_13,19.0,10.0,10.9,164.0
24-04-18_butterfly,p001237,exp1/exp1_cartpole_long_8,18.0,9.0,11.0,164.0
24-04-18_butterfly,p001237,exp1/exp1_cartpole_long_3,18.0,10.0,11.6,161.0
24-03-25_plasticity,p001346,exp1/exp1_cartpole_long_3,18.0,10.0,11.8,200.0
24-04-18_butterfly,23138,exp1/exp1_cartpole_long_2,18.0,11.0,12.7,16.0
24-04-18_butterfly,p001237,exp1/exp1_cartpole_long_21,18.0,10.0,11.0,35.0
24-04-18_butterfly,p001237,exp1/exp1_cartpole_long_12,18.0,9.0,11.2,162.0
24-01-07_data,20217,exp2/exp2_cartpole_long_13,18.0,9.0,11.0,200.0
24-04-18_butterfly,p001237,exp4/exp4_cartpole_long_12,18.0,9.0,10.8,166.0
24-04-18_butterfly,p001237,exp4/exp4_cartpole_long_15,17.0,9.0,10.8,167.0
24-03-25_plasticity,p001237,exp4/exp4_cartpole_long_9,17.0,9.0,11.4,160.0
24-01-07_data,20217,exp4/exp4_cartpole_long_2,17.0,9.0,11.1,200.0
24-04-18_butterfly,p001237,exp1/exp1_cartpole_long_4,17.0,10.0,11.2,163.0
24-03-25_plasticity,p001237,exp6/exp6_cartpole_long_2,17.0,10.0,13.2,11.0
24-04-18_butterfly,p001237,exp1/exp1_cartpole_long_19,17.0,9.0,10.9,164.0
24-01-07_data,20217,exp2/exp2_cartpole_long_20,16.0,10.0,11.4,200.0
24-03-25_plasticity,p001237,exp10/exp10_cartpole_long,16.0,10.0,11.8,122.0
2024-05-06_butterfly,22097,rl_only/rl_only_cartpole_long,16.0,10.0,11.2,52.0
24-03-25_plasticity,p001237,exp4/exp4_cartpole_long_12,16.0,10.0,11.6,159.0
24-03-25_plasticity,p001237,exp4/exp4_cartpole_long_16,16.0,10.0,10.8,163.0
24-04-18_butterfly,p001237,exp1/exp1_cartpole_long_9,16.0,9.0,10.8,165.0
24-03-25_plasticity,p001237,exp4/exp4_cartpole_long_8,16.0,9.0,10.7,164.0
24-03-25_plasticity,p001237,exp4/exp4_cartpole_long_5,15.0,9.0,10.8,163.0
24-03-25_plasticity,p001237,exp4/exp4_cartpole_long_3,15.0,9.0,10.8,164.0
24-04-18_butterfly,p001237,exp1/exp1_cartpole_long_10,15.0,9.0,10.7,165.0
24-03-25_plasticity,p001237,exp4/exp4_cartpole_long_1,15.0,9.0,10.7,164.0
24-03-25_plasticity,p001237,exp4/exp4_cartpole_long_10,15.0,9.0,10.8,163.0
24-04-18_butterfly,p001237,exp1/exp1_cartpole_long_5,15.0,9.0,11.2,163.0
24-04-18_butterfly,p001237,exp4/exp4_cartpole_long_13,15.0,9.0,10.7,166.0
